,id,Адрес,Название достопримечательности,Общая оценка,Кол-во отзывов,Тип достопримечательности,Достопримечательность,adress_for_scrap,Широта,Долгота
0,0,"Alemdar Mahallesi, Yerebatan Caddesi, No:1/3, Стамбул 34410 Турция",Цистерна Базилика,4.5,32299 отзывов,Исторические достопримечательности,1. Цистерна Базилика,"Цистерна Базилика, Istanbul, Turkiye",,
1,1,"Sultan Ahmet, Ayasofya Meydanı No:1, Стамбул 34122 Турция",Hagia Sophia Moschee,4.5,45396 отзывов,Исторические достопримечательности,2. Hagia Sophia Moschee,"Hagia Sophia Moschee, Istanbul, Turkiye",41.00850455,28.98001115466667
2,2,"Bereketzade, Стамбул 34421 Турция",Галатская башня,4.5,10122 отзыва,Исторические достопримечательности,3. Галатская башня,"Галатская башня, Istanbul, Turkiye",41.0256406,28.974213369331657
3,3,Подробнее,Historic Areas of Istanbul,5.0,10719 отзывов,Исторические достопримечательности,4. Historic Areas of Istanbul,"Historic Areas of Istanbul, Istanbul, Turkiye",,
4,4,"Eyüp Merkez, Стамбул 34050 Турция",Мечеть Эйюп Султан,4.5,1874 отзыва,Исторические достопримечательности,5. Мечеть Эйюп Султан,"Мечеть Эйюп Султан, Istanbul, Turkiye",41.0474069,28.9356137
5,5,"Yahyakemal Cad. No.28, Стамбул 34470 Турция",Rumeli Fortress,4.5,914 отзывов,Исторические достопримечательности,6. Rumeli Fortress,"Rumeli Fortress, Istanbul, Turkiye",41.08491705,29.056712523976934
6,6,"Uskudar, Стамбул 34668 Турция",Kız Kulesi,4.5,1119 отзывов,Исторические достопримечательности,7. Kız Kulesi,"Kız Kulesi, Istanbul, Turkiye",41.0211379,29.004057996398345
7,7,Подробнее,Beylerbeyi Palace,4.5,541 отзыв,Исторические достопримечательности,8. Beylerbeyi Palace,"Beylerbeyi Palace, Istanbul, Turkiye",,
8,8,"Binbirdirek Mh. Piyer Loti Cd. No: 2/1, Стамбул 34122 Турция",Serefiye Sarnici,4.5,391 отзыв,Исторические достопримечательности,9. Serefiye Sarnici,"Serefiye Sarnici, Istanbul, Turkiye",41.0074148,28.972395415166666
9,9,"Mimar Sinan Caddesi No: 20, Стамбул 34116 Турция",Бани Сулеймание,4.0,1159 отзывов,Исторические достопримечательности,10. Бани Сулеймание,"Бани Сулеймание, Istanbul, Turkiye",41.01658125387382,28.964635118956355
10,10,Посетить веб-сайт,Anadolu Kavagi,4.0,408 отзывов,Исторические достопримечательности,11. Anadolu Kavagi,"Anadolu Kavagi, Istanbul, Turkiye",41.17391,29.0886888
11,11,Посетить веб-сайт,Haydarpasa Terminal,4.5,238 отзывов,Исторические достопримечательности,12. Haydarpasa Terminal,"Haydarpasa Terminal, Istanbul, Turkiye",,
12,12,Подробнее,Tomb of Hurrem Sultan,4.5,34 отзыва,Исторические достопримечательности,13. Tomb of Hurrem Sultan,"Tomb of Hurrem Sultan, Istanbul, Turkiye",,
13,13,"Kalenderhane, Стамбул 34083 Турция",Valens Aqueduct (Bozdogan Kemeri),4.0,322 отзыва,Исторические достопримечательности,14. Valens Aqueduct (Bozdogan Kemeri),"Valens Aqueduct (Bozdogan Kemeri), Istanbul, Turkiye",41.016293250000004,28.954968351578763
14,14,"Kucuksu Cad. No:12, Стамбул 34810 Турция",Kucuksu Pavilion,4.5,137 отзывов,Исторические достопримечательности,15. Kucuksu Pavilion,"Kucuksu Pavilion, Istanbul, Turkiye",41.07841019999999,29.064883396987074
15,15,"Bozdoğan Kemeri Road. No: 2, Стамбул 34000 Турция",Historical Vezneciler Turkish Bath,4.5,237 отзывов,Исторические достопримечательности,16. Historical Vezneciler Turkish Bath,"Historical Vezneciler Turkish Bath, Istanbul, Turkiye",,
16,16,"Bankalar Cd. NO:10 Merkez Mah., 34421 Fatih/Beyoğlu/İstanbul, Турция, Стамбул 34421 Турция",Kamondo Stairs,4.0,85 отзывов,Исторические достопримечательности,17. Kamondo Stairs,"Kamondo Stairs, Istanbul, Turkiye",41.0239741,28.9737825
17,17,"Zeyrek Mah. Ibadethane Sk. Fatih, Стамбул 34083 Турция",Zeyrek Mosque,4.5,55 отзывов,Исторические достопримечательности,18. Zeyrek Mosque,"Zeyrek Mosque, Istanbul, Turkiye",41.0197079,28.957248610865737
18,18,Подробнее,Beyazit Square,4.0,185 отзывов,Исторические достопримечательности,19. Beyazit Square,"Beyazit Square, Istanbul, Turkiye",41.01055345,28.962664882385525
19,19,"Suleymaniye Mah., Стамбул 34116 Турция",Kanuni Sultan Suleyman Turbesi,5.0,28 отзывов,Исторические достопримечательности,20. Kanuni Sultan Suleyman Turbesi,"Kanuni Sultan Suleyman Turbesi, Istanbul, Turkiye",41.0156999,28.9644663
20,20,"Yedikule Meydanı Sk. No:9, Стамбул 34107 Турция",Yedikule (Castle of the Seven Towers),4.0,115 отзывов,Исторические достопримечательности,21. Yedikule (Castle of the Seven Towers),"Yedikule (Castle of the Seven Towers), Istanbul, Turkiye",40.993738164822844,28.92378485134302
